year,departamento,grupo110,ndefun_sinadef,ndefun_inei,diferencia,pct_diferencia,ratio
2017,CAJAMARCA,Infecciones respiratorias agudas bajas,202,1030,828,80.3883495145631,0.19611650485436893
2017,CAJAMARCA,Insuficiencia cardíaca,71,235,164,69.7872340425532,0.3021276595744681
2017,CAJAMARCA,"Insuficiencia renal, incluye la aguda, cronica y la no especificadas",26,135,109,80.74074074074075,0.1925925925925926
2017,CAJAMARCA,Insuficiencia respiratoria,23,267,244,91.38576779026218,0.08614232209737828
2017,CAJAMARCA,Las demás causas externas,26,334,308,92.21556886227546,0.07784431137724551
2017,CAJAMARCA,Lesiones de intención no determinada,4,46,42,91.30434782608695,0.08695652173913043
2017,CAJAMARCA,Leucemia,7,89,82,92.13483146067416,0.07865168539325842
2017,CAJAMARCA,"Malformaciones congénitas, deformidades y anomalías cromosomicas",22,172,150,87.20930232558139,0.12790697674418605
2017,CAJAMARCA,Neoplasia maligna de colon y de la unión rectosigmoidea,11,48,37,77.08333333333334,0.22916666666666666
2017,CAJAMARCA,Neoplasia maligna de estómago,60,314,254,80.89171974522293,0.1910828025477707
2017,CAJAMARCA,Neoplasia maligna de higado y vias biliares,15,145,130,89.65517241379311,0.10344827586206896
2017,CAJAMARCA,Neoplasia maligna de la glandula tiroides y de otras glandulas endocrinas,2,10,8,80.0,0.2
2017,CAJAMARCA,Neoplasia maligna de la mama,6,64,58,90.625,0.09375
2017,CAJAMARCA,Neoplasia maligna de la piel,4,33,29,87.87878787878788,0.12121212121212122
